FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2021,8,川崎Ｆ,鳥栖,1,0,3,1,1,2,1.9,0.9,H,83,2.6,1.398245117,27.1,5,36,0.652891782,25.3,7,
2021,19,川崎Ｆ,福岡,3,1,3,1,1,2,2,1.5,H,83,2.6,1.398245117,27.1,5,27,0.932792402,27.3,8,
2021,10,川崎Ｆ,広島,1,1,1,1,0,1.76744186,1.8,1.1,H,83,3,1.398245117,27.1,5,48,0.96738686,27.3,4,
2021,12,川崎Ｆ,名古屋,3,2,3,1,1,1.925,1.9,1.2,H,83,2.6,1.398245117,27.1,5,63,1.099474793,27.1,3,
2021,20,川崎Ｆ,仙台,2,2,1,1,0,2.022727273,2.1,1.2,H,83,2.6,1.398245117,27.1,5,28,0.649746831,26.3,8,
2021,14,川崎Ｆ,札幌,2,0,3,1,1,2.379310345,2.2,0.7,H,83,2.2,1.398245117,27.1,5,39,0.835298928,26.3,7,
2017,7,Ｃ大阪,Ｇ大阪,2,2,1,1,0,1.04,1.2,1.9,H,22,2,1.172423985,23.2,5,48,1.014150072,23,7,
2017,9,Ｃ大阪,川崎Ｆ,2,0,3,1,1,1.342857143,1.8,2,H,22,2.2,1.172423985,23.2,5,76,0.977574168,25.5,6,
2017,11,Ｃ大阪,広島,5,2,3,1,1,1.25,1.5,1.6,H,22,1.6,1.172423985,23.2,5,58,1.288801862,25.9,5,
2017,14,Ｃ大阪,新潟,4,0,3,1,1,1.5,1.3,1.1,H,22,2.4,1.172423985,23.2,5,36,0.711567592,24.3,6,
